label,text
1,well that uncontrolled falling rocket launched by china made up for the post mocking cremation of deased #wuhanvirus victims in india. it reads how china uses fire vs how india uses fire. karma is a bitch motherfuckers grinning squinting face link
1,username why in hell is the username governor giving vaccine availability updates??? username absconding !!!! #resign_pm_modi
1,"why am i mad at this son of a bitch username? it wasn't enough that he banned my 350k account, and when i open a new account, few people see my tweets. the son of a bitch has completely banned my ip address. i hope that twitter bird gets shit on your head. link"
0,username u might just be braver than any marine... or well... i dont know those xd but u are way braver than me :o ... i hope u have tons of fun and kick those bloody hell falls ass!
1,username username haha these things won't be flashed by vulture media bootlicking raul gandhi snooping over our dead in crematoriums doing theatrics with painted faces selling broken india narrative to international media !! sadly they are more venomous than #chinesevirus and are all over angry face 
1,username username username username username username username username username username username username dammmm pimp daddy
1,"i hate thieves!!!! i’m not going to say, “i don’t hate anyone.” because i do hate fucking thieves! on my handlebar there use to be a cell phone holder but some mother fucker stole it. and now i’m ok and#ihatethieves #thief #fuckyou #pissed #ugh #buyyourown link"
1,such a shameful act. women were gang-raped. people were cut into pieces. shops of bjp workers had been looted. #bengalburning #bengalviolence #bengalisburning #arrestmamata #tmcterror link
1,"the antis are comparing apples to oranges and for what??? do not ever compare the hardships, neglect and abuse of these children to ignorance of adults fully capable of taking care of their own shit! how the fuck dare you!"
0,spirit and my guides : stop having trust issues the types of people coming into my life : god damn idiots me : link
1,the nation is paying price of your incompentence.... the most hated person in india... #resignmodi link
1,i ain’t saving no hoe i’m a real ass pimp !!
1,username it would be funny if spencer says something like son of a bitch out of nowhere though.... just saying (: hoping it's a hard tv-pg or soft tv-14
0,"tmc goons attacked our convoy in west midnapore, broken windows, attacked personal staff. #bengalburning link"
1,username some evil mastermind that knows it would piss off ocd people lol
1,this is why i needa get my shit together and get in shape . im tryna look fine af
0,"really depressed after seeing the situation, hospital jaha logo ki jaan bachai jaati hai ab waha jaane me bhi drr lgta hai, kyuki system brbaad ho chuka hai sbko helpless dekh kr rona aata hai loudly crying face please be safe #covidsecondwave #indiachoked #indianlivesmatter #indiacovidcrisis"
1,"username username username username username also no one appreciated me for using #wuhanvirus , sab steam steam , spread spread kar rahe hai, i already know that, finding out the interesting part got missed by all who replied are"
0,username username the lnp base who love it for it's racist overtones #gobacktowhereyoucamefrom ironically don't believe in covid19 and don't want to take the #covidvaccine so it puts those nats in an awkward position. is covid dangerous or not? #indiacovidcrisis #covidindia #covid19nsw #thedrum
0,username #islamophobia stop this muslims genocide
1,username username mhm okay well hope your good *my dick near you*
1,"watched that fergie film last night and loved the line on the leighton/sealey conundrum. 'les wasnt a better goalkeeper than jim, but he thought he was, so he was picked'. i prefer dick head goalkeepers so i'd stick with henderson for a season on that basis. link"
0,where are all secular bollywoodies who wore posting their views on the dasna incident ... farmer bills .... and many more .... is bengal not a topic ... please stop being one sided .. #bengalburning #shameonmamata #bengalisburning #mamtaisterrorist #shameontmc #tmcterror
0,username username agree. but its unfair to create panic for #plasma or these anti cancer drugs.. to treat the #chinesevirus when they are in such short supply and the efficacy is hardly known.
1,fuck all of you /hj link
1,username save this.... bastard...... u will deny this after few years.... stop fucking with those animals
1,"why can't bjp stand for what's right? so intent on protecting your secular image that you have forsaken your own. helping them is not partiality, but your duty irrespective of the party they support,the religion they follow. #bengalburning #bengalviolence link"
1,username gay gay gay trans gay trans gay gay trans trans gay little trans bitch gay gay homo homo thats me the woman enjoyer wowowowow wawaweewa mfw gay
0,username a huge load of bollocks tbh
1,username username username he aint gna shag you
0,"sad reality! #chinesevirus has made the world a very lonely place, particularly in death link"
0,"can't wait till 2024, need a government, please stay away from modi - arundhati roy against modi #resignmodi #shameonyou link"
1,"username uhg, you're not posting much because you're spending the time working on a cool as fuck artwork instead of posting the best art every single day??? for shame, how dare you put effort into making the best art! link"
1,i feel devastated for india and deeply ashamed of our government’s attitude and actions. #indiacovidcrisis link
1,modi/shahâ€ trade mark s bjp is a disaster for india. #modimadedisaster #modiresign #modikavaccinejumla #modihataodeshbachao #modigovtsenahopayega #modiabandonedindia #modimustresign #modidisasterforindia #indiafightscorona #indianeedsoxygen #indiansdyingmodienjoying #covidindia #covid19 link
0,hard for india to strengthen climate ambition when many experts are diverted to helping covid sufferers find oxygen and hospital beds #indiacovidcrisis link
0,what justice are they seeking ? many people died suddenly because of #chinesevirus so did he. anyways he was a criminal so why so sympathy for him. what good he has ever done in his life ? #stopwastingtime #justiceforshahabuddin
1,these idiots are the no. 1 anti indians #chinesevirus link
0,"username did they give it for free or did they even bothered to give it at a concession price , a big no!!! so better stop praising , a machine worth of 10-12k is being sold at 18k during such tough situation which is created by china himself #chinesev"
0,narendra modi’s credit history is so bad. because modi takes credit from every place. be it isro or vaccine certificate. #modikavaccinejumla #modiresignorrepeal username username #kissanektajindabad
1,now i canât even get my tattoos bc this man is being a cunt ! tf bro ð
1,username total people vaccinated: first 7 days of month (01-07 apr 21): 2.50 crore last 7 days of month (24-30 apr 21): 1.66 crore the drastic reduction in the numbers of people getting vaccinated is only due to shortage of vaccine. it is utter failure of modi govt. #resignmodi
0,"dear bhakts stop asking me to go do something about a pandemic. i'm a tax payer, i did my job. the guy who i paid the tax to is busy growing his beard and building himself a palace using the money and letting people die on the streets.#covidsecondwaveinindia #resignmodi"
0,username i'm sorry ron. sending red heart and healing energy. #indiacovidcrisis
1,the reports of post violence in west bengal is completely disturbed all community in india also itâ€ trade mark s absolutely condemned. username is traitor to the country. #bengalinflames #bangalburning #bengalburning #bengalviolence
1,#edhifoundation was first to respond to #indiacovidcrisis with huge help but modi didnâ€ trade mark t allow.this aid could have saved lives. ambulances could have been used to offer oxygen &amp; transport patients even to cremations.modi continues to make matters from bad to worse.what a loser! link
1,username we are suffering due to #wuhanvirus. shame on #china .
0,"username now the real question is whether dutch people actually identify ""vulva"" with ""lips of shame"" or it's just a weird etimology that they don't even notice most of the time. case in point: when people say ""son of a bitch"" it's never meant literall"
1,how can mlas/mps or any other politicians get #covidvaccine at their home? this vip privilege culture is costing loads of covid vaccine wastage. shame on such politicians. pouting face #covid19india #covidindia
0,shame on us...our moral values have gone so low that we don't care about how other countries are seeing us...ds is the time to be united &amp; fight ds deadly #wuhanvirus but our differences &amp; hunger to power has crossed all limits and we don't feel ashamed of spreading fake news 2/2
1,allow it and put a clause in to stop them working at spoons. this fucker campaigned for this. link
1,"i hate this little bastard. just looking at him fills me with the fiery rage of 1,000 suns. i fucking hate him so much oh my god hes so fucking ugly i just wanna step on his pathetic little face and stomp on him until he’s nothing but a bloody pulp. repulsive fat goddamn bitch link"
1,username username username username username username ur arrogance and over-confidence has put this nation into mess &amp; each one of u shud tk responsibility of this mess. you are visionless leader which this nation never deserved
0,i know it's very cheap joke. but still man shrugging marriage of #billgates is destroyed by #chinesevirus backhand index pointing down speak-no-evil monkey grinning face with big eyes face with tears of joy rolling on the floor laughing see-no-evil monkey link
1,"username username well said lady. we did our best. but those republican asshole have a ton of money, power and followers who are win at all costs. we are not done yet. revenge is dish best served cold."
0,don't know who is he but rip to him we are not like you people (leftists and muslims) who laugh and celebrate a death soul may shri ram give power to there family to bare this loss #justiceforshahabuddin
0,"the cowin website, the appointments given and availability of vaccine are all disconnected. totally disappointed. #cowin #failure #covidvaccine username username"
0,"username username the situation in india is very bad and needs your help in india there is no oxygen, not remdashivr injection #helpindia #indiacovidcrisis #india #oxygenconcentrator #covid19india #covidemergency #oxygen #covidsecondwaveinindia #modikavaccinejumla"
1,username utter bollocks. why on earth would people believe you?
1,killer pradhan sevak enough is enough you had made all medical services mess #exitmodi #modiresign #modimadedisaster #modihataodeshbachao #modikavaccinejumla #resign_pm_modi #modigovtsenahopayega
1,username you must accept the will of the people the way you use to urine on the bed (dick) when your in school big head.
1,username do it pussy you wont
0,i even saved for the fucker and he didn't even come home when his banner was happening
1,"â€”stabilize this relationship. itâ€ trade mark s just â€” him dealing with the fact that ð trade mark žð trade mark › he does this, he loses all chances with shao kahn. or, really, the one singular chance he was given recently. âlove is a pile â€˜o piss in the dirt, ainâ€ trade mark t it? i go â€˜n try for weeks tâ€ trade mark shag yourâ€”"
0,"username has led center to push harder to improve the health infrastructure, while the states kept on w/ their agenda shamelessly! #kejriwal_exposed #indiacovidcrisis"
0,who is responsible for oxygen? #andhbhakt #election_meeting #narendramodi #modikavaccinejumla #modiresign #farmlaws_nextpandemic #suspendsharjeelusmni #studentslivesmatters #cancel12thboardexams2021 #covidemergency do you agree with me? red heart don't you agree with me? clockwise vertical arrows link
1,c'mon twitter.. do your thing. make this greedy twat so embarrassed he hates to go to a game again. #chicagofan link
1,what a twat. (rhymes with bat) link
1,"username ""the evil side"" prej. ok you joker quote fuck, get in the cuffs"
1,username spring was a bitch around here this year
1,"revolt now i repeat revolt now, against the govt. or so called system. otherwise we will keep losing our loved ones. they have failed us on every front. #covidindia #indiacovidcrisis #revolutionnow"
1,username username bollocks you know nothing ðÿ˜†ðÿ˜‚ðÿ˜­
1,"i am upset thinking myself.those who do government jobs are the frontline workers.and people who help everyone by doing shops,repair or any kind of work.#americanrescueplan #modihataodeshbachao #modimadedisaster #resign_pm_modi #rssterrorists username username username username link"
1,21k fools found in india so far! more to go! #resign_pm_modi #save_india_from_bjp #my_nation_deserves_better_primeminister link
0,"so it was not a happy birthday, reasons - 1) china originated pandemic is on peak (i hope), more than 350k plus people must have been diagnosed today with #chinesevirus and thousands of them are gonna die. although they are strangers for me, but they are everything for someone."
0,username username what do you make of the rumors malik hooker is deciding between signing with the cowboys or dolphins?
1,username not gonna shag you.
0,amidst this ongoing #indiacovidcrisis these news are disturbing. #cancelipl to prevail sanity. need of the hour is to focus on restoring the normalcy. link
0,and some writers are crying why modi ji is not approving pfizer grinning squinting face grinning squinting face grinning squinting face grinning squinting face #pfizer #vaccineshortage #vaccine #chinesevirus link
1,"what is the matter with username? they must be as stupid as username, who seem to enjoy seeing wi residents suffer and die, due to their own inaction and awful sense of ""priorities"". #gopcorruptionovercountry #gopcomplicittraitors #wiunion #gettheshot #covid19 #covidvaccine link"
1,username username get a hooker
1,username bloody hell. this just happened. like something out of jurassic park. right over my head. link
1,"#modikavaccinejumla vaccination drive by modi govt has proven to be a big failure. ""despite many constraints, we have supplied vaccines to over 80 countries..."" modi failed to put india first now we have vaccine shortage in india. #resign_pm_modi link"
1, loudly crying face tears come into my eyes . ya allah plzz forgive us and plzz gives us shifa from this deadly covid19. username username u lead into apocalypse. shame on u #indiacovidcrisis link
1,is there rnbo lore on you know whoâ€ trade mark s stream ðÿ˜’ðÿ˜’ðÿ˜’ damn it.... iâ€ trade mark m in class anyway but.... fuck... ran bow lore is ran bow lore....
1,still haven't fully come to terms that my team are european champions. lol. bloody hell. a team that by december made me hate football
1,motherfucker with a badge and a gun
0,"i’ve never seen anything pushed as hard as the #covidvaccine in my entire life. sports teams, actors, politicians, etc. seems weird considering there’s a mortality rate below 1%"
0,when indian citizens are asking pm modi to resign; congress party is seeking apology. why has congress party become out of sync to what indians want?? ⁦username⁩ ⁦username⁩ ⁦username⁩ ⁦⁦username⁩ #resignmodi link
0,username username my mates psychobilly band did some obscure euro fest once with a band called 'the bollocks quiffs'
0,"with the global pandemic so bad in many countries around the world, vaccine production must be increased exponentially! damn the patents! give the order username username emergency measures now! #indiacovidcrisis vulcan salute "
1,username username this is the first time in my life i am not feeling safe in my own house in my own land and can't do anything for it such a shame to peoples who says they are leaders of our country #covidindia #indiacovidcrisis
1,"whenever i u guys making fun of flamboyant gay people, it always makes me want to be more flamboyant to piss u guys off (and for myself, shit seems fun) im a goddamn dudebro but i trust the rainbow gays more than the mfs who make fun of them"
1,username dammit i'm trying to avoid this fucker out here
0,username username my first time seeing report about #indiacovidcrisis . this is very heart breaking.
0,"a deadly second wave of #covid19 is devastating #india. #indiacovidcrisis the crisis has affected lives and people’s livelihoods, with the poorest and most marginalised communities also facing food insecurity. donate today and help save lives backhand index pointing right link link"
1,username username username np pimp
0,username loving this unhinged monster fucker energy on main today
1,nobody: me standing in front of a mirror my mind: bloody marry bloody marry bloody marry me: stfu you dumb bitch!
1,username username shame on you username. people are dying because of you and shah.and you are congratulating her. modi you are now new manmohan.#resignmodi
1,"#chinesevirus led to global pandemic #chinesevaccine is a failure. just ask #seychelles now, world is waiting what destruction #chineserocket brings to the world but, hey, we canâ€ trade mark t criticise china at all!"
1,username this is fake... you are so shameless username ... #shamelessmodi #resign_pm_modi #resignmodi #modimustresign #modimadedisaster #modihataodeshbachao
0,shucking people's brains time and again! #modikavaccinejumla
0,let country ðÿ‡ registered ðÿ‡³ image go to hell but governments and ministers should not. #indiacovidcrisis link
0,and here we don't have a plan for even innoculate people above 45. #bjp #bjpdestroyedindia #modikavaccinejumla #covidindia #covid19india link
1,"username when the rest of the world are getting vaccinated, he thought india defeated covid without vaccination. how stupid can 1 be? trying to save himself now. #vaccinejumla #coronavaccine #indiacovidcrisis #covid19india #covidvaccination #vaccines"
1,"y'all testing my patience eh? i'm damn shut up now. don't dare me to say such things then after that you'll call me ""bastos""? wtf was that eh? hahahahaha fuck that mindset. let me do the things i want 'cause those are my fucking peace of mind. that's my rest."
0,username well it’s not u2 that’s for damn sure. let apple know please.
1,although i doublecheck with tarot because gabriel can be a twat.
0,sorry to say those who trending #modikavaccinejumla apni shakal mat dikhana vaccine lete huye - live and die with your ideologies let common people like live our life well
0,is there any agent or dalal who can book vaccination slot for me. i will give money but do it yaar. pensive face it’s so depressing to try desperately and not getting it. username #vaccinefor18plus #vaccinated #vaccine #indiacovidcrisis #cowinapp #billgates #bjp #modihataodeshbachao #modi
1,bloody maryâ€ trade mark s are in the bad bitch hall of fame
1,username no fault! but i haven’t seen you crying and shouting when people of other political parties die. i agree that a wrong is wrong and it should be condemned but you cry very selectively mr. patra #bjpcartoon #resignmodi
1,username they must be mate.. weird as fuck.. like the game has just died since ligue 1 tots came out
1,"then she was slowly deep throating da dick . and my head layed back .. but she started to speed it up and i wanted to move her head so bad but i couldnâ€ trade mark t . she was sucking about 10 mins in and i nutted , she didnâ€ trade mark t stop there .. she went another hour ðÿ¥´â€¦ my body felt"
1,i've come to make an announcement: shadow the hedgehog is a bitch ass motherfucker.
1,see? i’m not an asshole
1,"give him a fucking vaccine and send his ass the fuck back to jail! no more ""get out of jail because of covid cards"" and you can put that fucking username back in jail too #covidvaccine link"
0,please don't donate to #pmcaresfund #kisanbole_novotetomodi #kisanmazdoorektazindabaad #farmlaws_nextpandemic #farmersvsmodivirus #farmersprotest #modimustresign #modihataodeshbachao #modiresignorrepeal #modiresign #resignmodi #resign_pm_modi #modidisasterforindia link
1,"what a hipocracy &amp; banana republic india being made to be by modi ... pfizer biontech vaccine is used world over example singapore , australia, canada newzealand .. but not given approval in india ...u shd be ashamed username username #indiacovidcrisis #modiresign"
1,username appreciate it you salad with ranch tossing fucker ðÿ˜­ðÿ˜­
0,"this violence is totally unacceptable. the #westbengalviolence is a disgrace. hon. union home minister username - sir, you have to step in. #bengalviolence #bengalburning link"
1,username gawd dayumm. swag off gurll
1,its not good of india bjp after loosing election in west bengal trying to impose presidential rule thats dictatorship is going on shame on bjp we the people of india stand united and defeat these sons of hitler's #resignpmmodi
1,"username from a purely objective standpoint, it’s more fun to interact interact with a happy cunt than a sad asshole. man shrugging: medium-light skin tone "
1,"very few places around #iomtt circuit have this flag. and while i know the hazard is an absolute bitch for riders and sidecar teams, its always bloody good to have this one #readytorace... because it means there may just be some racing! username link"
0,again met with another heartbreaking covid death video ð­ on twitter now taking some break can't see these sos videos more #indiacovidcrisis
1,"â€œif i give you the right answer, or any answer, my head would be chopped off....i canâ€ trade mark t comment on the elections or kumbh mela. itâ€ trade mark s too sensitiveâ€ the country canâ€ trade mark t even protect itâ€ trade mark s vaccine maker who had to run away. #indiacovidcrisis link via username"
1,"username you are again proving, you are one big mistake to this country. people are dying but you are more interested ins spending for your bed. people pay tax, not for your comfort. username username #india #resignpmmodi link"
0,username #resignpmmodi we don't want more deaths to happen in our country due to covid19 or in the name of religion.
1,username username username you have done enough butcher !! now get the fuck out of here .. #resignpmmodi #resignmodi #resignamitshah link
0,not surprised by this. people with #asthma are forced to either stay at home or head into society unprotected because they're not entitled to a priority #covidvaccine. the stress is immense - on top of having resp disease during a pandemic of a resp virus. #asthmaticsatrisk link
1,"what the government and media needs to focus on vs what they are actually doing right now. such a shameful moment to call myself an indian, where elections, power, fame, trp, money is more important than people's life. such a shame. #exitpoll #modimustresign #modikavaccinejumla link"
0,stop blocking patents for the vaccine username #covidvaccine link
1,shame on yogi #yogifailsup #modikavaccinejumla #modiresign link
1,"why is nobody questioning chinese involvement in this pandemic? those bas*arsa made the world suffer emotionally , physically and financially through this with their man - made virus. never forgive. #chinesevirus #wuhanlab #wuhanvirus"
1,username username and telling a player their mom is a whore isnâ€ trade mark t actively trying to start a confrontation ðÿ˜‚?
0,i just heard on the news that in india babies are in danger of dying due to lack of oxygen. this is so heartbreaking #oxygencrisis #indiacovidcrisis #pandemic
1,"ethics, values and compassion should been the mantra at this stage. unfortunately many sick minds are using it as a tool to make fortune. look at just bed blocking and black marketing of drugs. it's not covid killing people, it's the greedy and creepy humans. #indiacovidcrisis"
1,this is how these sanghis spread fake news and accused others falsely on rape charges. shame on these sanghis #bengalburning #mamatabanarjee link link
1,"username username username i am loosing hope too, but what option we have. i donâ€ trade mark t think he will piss off hindus. deshabille karma is also a part."
1,"but instead of a mask it's a dick. you're like bane but with a dick in his mouth. and instead of running you're head-banging like you're at a rock concert. anyway, just food for thought."
0,username username username in bengaluru a physician's consultation will cost min 200₹. can't we pay that for vaccine!! stop this politics over vaccine. #whoisdemandingfreevaccine #vaccinefor18plus #vaccineforall #indiacovidcrisis
0,we dont trust y'all to plan shit #wwdiscussion
0,username username it looks like they're all zombies.... bloody hell fire!
0,the trending video of boko haram converting .. people to islam..in niger state..en mass... certainly the islamic north has questions to answer..am not seeing mass condemnation of this shameful act... religion is not by force but by conviction...#unknowngunmen #islamophobia
1,"shame on the ""system"" ! ðÿ˜¡ðÿ˜¥ #failedpmmodi #resign_pm_modi link"
1,what the heck the bjp is doing... destroying people life? #resignpmmodi #bjpdestroyedindia #bjp #prayaraj
1,username itâ€ trade mark s finna be #juneallsummer long pimp.
1,that shit giving hurt whore ðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚
1,username username username username username username username username username username username rather than taking action on pandemic. govt is more concerned what people posted on social media &amp; how dare they? went one more step to challenge foreign media that how can they write that govt failed to take actions. control pandemic or exit #resignpmmodi #exitmodi #resignmodi
1,"i hate i. s. l. a. m. o. p. h. o. b. i. a. but a question for those who complain, ready to behead why is there islamophobia??? #islam #pakistan #islamophobia #oic username username username username username username"
1,#resign_modi #resign_pm_modi #resign_cm_yogi #resign_amit username username username username username username .... #not_an_inch_back go to the hell.... bloody fools ellaam chath pandaaram adang...myrole link link
1,"#tmcgoons have unleashed horror after username's victory in bengal. karyakartas are being murdered and tortured to such an extent that they are being forced to flee their homes. so this was the ""khela"" that didi was talking about. #bengalburning link"
1,there is no need such an election in india in which thousands are to be killed. useless #electionresults2021 what is the benefit of creating a government that cannot save the lives of peoples in corona pandemic? shame assassin modi. #exitmodi #resignpmmodi username link
1,if i ever have a son and one of you weird bitches refer to him as sexy i might donkey punch you in the top of yo shit. thatâ€ trade mark s hella predatory
0,"it’s almost like the vaccine doesn’t work... “seychelles, which has fully vaccinated more of its population against covid-19 than any other country, has closed schools and canceled sporting activities for two weeks as infections surge.” link #covidvaccine link"
0,username clown behaviour but i wonât shit on you because there might be a chance link
1,"there was nobody for hindus then, alas not even now. poor bjp can't even save their own leaders in bengal, how come they'll save you! #hinduslivesmatter #bengalburning #spinelessbjp #bjpfailsindia link"
1,username username i got mine from homebase few years back. it’s the bollocks
1,"i am a bitch, a whore, a slut. everything for him link"
1,username ok. what did you do to piss off the universe?
0,"#tejasvisuryaexposed #tejasvisurya #resign_pm_modi at these hard times while various communities are working together to save the lives of friends and dear ones , sad to see such public representatives bring discord into the beautiful fabric of democracy. link"
1,happy pride month im gay as fuck
1,"username username username username shitbags, is that what you look like? like a shitbag, cuz it does look like there are flies around your face. my only point was - they're different. are they a commie? or are they a libtard?"
0,"she took me to her mamas, n then we went to her place. i then started drinking too. time was moving and i wanted go to my place. ðÿ trade mark „ðÿ trade mark „ uncomfortable kissing n caressing. i'm not home no condoms plus i jus met this bitch she want to shag. next thing i'm thinking about consent"
1,"username thats just pure bollocks on sticks, thats the elites game to get folk raging against china so their kids will die on a hill for them, the economic ballance switches from east to west and vice versa every 500 years, the west is bankrupt, get used to it rather than wage war 1/2"
1,username username kangana did a terrible mistake of pointing the mistakes of supreme leader !! betrayal &amp; exposing gujarat cm is not acceptable in bjp.. #resignmodi
1,"username you are hopeless. retire, wanker."
0,bitch
0,"why do so many ppl carry on about how the #covidvaccine process doesn't hurt a bit? so bloody childish. we all know that, that's not what we're worried about, it's the efficacy and side effects that are of massive concern"
1,it's always terrifying and appalling that one person can be responsible for the death of so many people..the suffering of the innocent bjp workers is beyond measure.. face with rolling eyes #mamtabannerjee #bengalburning
1,"why who is not taking action against china. china desperately spread the virus. no second wave and death toll in china. everyone gets proper treatment, they are no disclosing the treatment. #chinesevirus #chinaliedpeopledied #china_is_terrorist #worldchineseorganisation"
0,it's deeply painful to see what's happening in india right now #indiacovidcrisis . especially when i received so many kind messages from indians at the beginning of the pandemic in europe where they expressed concern for how i was doing.
1,its shameful even big boss winner username knew the truth . #modiresign #modikavaccinejumla #rohitsharma #jumma_mubarak #istandwithsiddharth link
1,link priority of the government in the time of crisis. shame!!! #resignmodi #resignpmmodi #resign_pm_modi username #covidsecondwaveinindia username
1,"pm modi, you have failed my india. your pr stunts are not going to help the needy. you are a disgrace! #modikavaccinejumla #modiresign"
1,loser like username aren't even worth listening to. no one believes them anyways
0,the situation all around us is extremely painful.i can't albe to see it any more..ppl are loosing their hope. only god knows when will this all end.god will never forgive anyone who behaves as a opportunistic in this inhumane crisis. #wuhanvirus username username username
0,"i beg you to read this plea from my neighbour who is out in india right now, giving an eye witness account on the hell that is unfolding and trying to help those in the most need. #india #indiacovidcrisis help for covid crisis in india. link"
1,username you bastard fucking chinese chinki. shame on you. you are responsible for this chinese virus from #wuhan username username #china #chinesevirus username username username link
1,"username yeah, poor people don't deserve nice shit. come on now."
1,it’s not even a competition. the new sword is boring as fuck. it’s like.... a regular ass sword bruh. original sword for the win. link
1,"username username bloody hell, i thought it was narco trafficante!! i’ve been watching too much colombian/ mexican programmes !"
1,"modi ji kya hua are you wrong pm you should resign from your job, you not eligible for this position. username #resignpmmodi #resign_pm_modi link"
1,modi government is so insensitive towards frontline staff workers. life of pilots ignored. sad. username username username username username username #modiabandonedindia #modiresign #resignmodi #modimadedisaster #modimustresign #modihataodeshbachao link
1,"username username the blood is in the hands of username killing karnataka people, by reducing its requirements cowards like username are ruling pigs ,, username u should be ashamed of it #exitmodi #resignpmmodi #modimustresign #mo"
0,"username username username me neither. he's an exceptional player alongside so many of the exeter team. i've got strong family links to the club including my brother-in-law who many moons ago played hooker. also, i know luke c-d pretty well."
0,i understand when people do me shit but once i reciprocate i got tagged the bad egg person facepalming 
1,"looks truly awful, bloody hell link"
0,the government has abandoned its folk and never been so ashamed. government out to wipe out a generation #bjpfailsindia #covid_19 #indiacovidcrisis username username username username link
0,"#freepressday some of #usmedia are #smearcampaign against right activist &amp; critical journalist #mauramoynihan, #china's #chinesevirus causing so many #antiasian, we must condemn #ccp regime from creating #racism world. #freetibet #xijinping #pressfreedomday #freedomofspeech #us link"
0,username ugh. here we go. another nobody saying nothing about another nobody. i was not a cunt to anyone. i see people dropping off twitter because of other people âbullyingâ them. i have never said a cross word to a single person on here that
1,*too much centralisation of power and decision-making has caused inefficiency and indifference at all levels of governance.* modi canâ€ trade mark t blame his ministers for sleeping at the wheel *because he never empowered them to do anything better!* ~ theprint #resignmodi
0,"as nothing is easy with #ontario #covidvaccine rollout, it took me some time to cancel a booked appointment when a much-earlier one became available. the thought of a wasted dose/unfilled slot was horrifying to me. it takes a village. make the effort. #goodneighbour link"
0,username such a loss broken heart sending my deepest sympathies to her loved ones #indiacovidcrisis
1,#cancel12thboardexams2021 #resign_pm_modi username because of your overconfidence and ignorance hundreds of indian citizens are dying everyday and now you are ignoring lakhs of student's daily plea to cancel exam...
0,username meat phase-out can never be a good thing. piss off link
1,"this is embarrassing on many levels .. hypocrisy , double standards , doosron ko preach karte ho, and he hasn't even said a single thing yet on #bengalburning such a shame ! link"
1,"#resignpmmodi please do it asap, you are the most incompetent leader. nobody trust you anymore, not even your andhbhakts. link"
